order_id,order_date,customer_id,customer_name,customer_type,city,occasion,channel,payment_method,product_category,product_name,quantity,unit_price_inr,gross_revenue_inr,discount_pct,discount_amt_inr,net_revenue_inr,cogs_inr,delivery_cost_inr,marketing_cost_inr,workforce_cost_inr,spoilage_cost_inr,total_cost_inr,profit_loss_inr,delivery_time_mins,delivery_status,customer_rating,complaint_type,workforce_assigned,is_repeat_customer
BKG-11153,2023-01-01 09:18:00,CUST00547,Meera Mehta,Returning,Delhi,Casual / No Occasion,App,Debit Card,Photo Cakes,Anniversary Photo Cake,2,966.17,1932.34,0.001,1.93,1930.41,1325.8,441.45,141.67,160.01,159.93,2228.86,-298.45,44,Delivered,4.7,Incorrect Customization,1,1
BKG-10936,2023-01-01 20:21:00,CUST01243,Meera Sharma,Returning,Jaipur,Valentine's Day,App,UPI,Pastries,Blueberry Muffin,1,281.64,281.64,0.072,20.28,261.36,142.72,315.73,99.14,202.74,1.46,761.79,-500.43,44,Delivered,4.9,Quality Issue,2,1
BKG-10312,2023-01-01 20:22:00,CUST03342,Simran Patel,New,Mumbai,Corporate,In-Store,Debit Card,Custom Cakes,Butterscotch Custom,3,1512.9,4538.7,0.169,767.04,3771.66,2211.52,311.84,214.0,122.5,520.63,3380.49,391.17,59,Delivered,4.9,Incorrect Customization,2,0
BKG-10311,2023-01-02 05:36:00,CUST00341,Rahul Das,Returning,Delhi,Festival,App,Debit Card,Cookies & Bars,Oatmeal Raisin Cookies,1,353.56,353.56,0.03,10.61,342.95,180.19,125.96,63.52,143.7,45.45,558.82,-215.87,65,Delivered,3.8,Quality Issue,2,1
BKG-10549,2023-01-02 19:43:00,CUST01477,Shreya Iyer,Returning,Mumbai,Baby Shower,Website,Credit Card,Photo Cakes,Birthday Photo Cake,1,1445.17,1445.17,0.087,125.73,1319.44,766.22,187.62,90.87,124.22,33.08,1202.01,117.43,74,Delivered,2.8,Wrong Product Delivered,1,1
BKG-10262,2023-01-02 20:14:00,CUST02337,Suresh Agarwal,New,Delhi,Birthday,App,Wallet,Custom Cakes,Black Forest Custom,2,3371.99,6743.98,0.145,977.88,5766.1,3645.13,120.29,222.64,151.1,709.2,4848.36,917.74,44,Delivered,3.6,Late Delivery,1,0
BKG-10807,2023-01-02 22:53:00,CUST08079,Kavya Verma,New,Bangalore,Anniversary,App,UPI,Custom Cakes,Choco Truffle Fondant,1,2847.59,2847.59,0.072,205.03,2642.56,1700.28,161.4,371.68,201.0,532.79,2967.15,-324.59,84,Delivered,3.5,No Complaint,1,0
BKG-10133,2023-01-03 02:52:00,CUST00969,Meera Gupta,Returning,Jaipur,Wedding,App,Debit Card,Custom Cakes,Choco Truffle Fondant,1,2444.38,2444.38,0.093,227.33,2217.05,1379.54,138.05,75.77,199.1,4.99,1797.45,419.6,100,Delivered,1.9,No Complaint,2,1
BKG-10847,2023-01-03 03:17:00,CUST03463,Meera Bose,New,Delhi,Festival,App,UPI,Photo Cakes,Wedding Photo Cake,4,626.74,2506.96,0.039,97.77,2409.19,1406.02,217.37,298.04,167.66,335.33,2424.42,-15.23,44,Delivered,3.7,Incorrect Customization,1,0
BKG-10333,2023-01-03 13:02:00,CUST01443,Simran Bose,Returning,Chennai,Festival,In-Store,UPI,Cupcakes,Vanilla Rainbow Cupcakes,1,775.5,775.5,0.024,18.61,756.89,436.1,369.71,71.6,221.8,177.54,1276.75,-519.86,82,Delivered,3.4,Late Delivery,2,1
